name,count,missing,mean,std,min,max,cv,p05,p25,p50,p75,p95
width,50250,0,256.0,0.0,256.0,256.0,0.0,256.0,256.0,256.0,256.0,256.0
height,50250,0,256.0,0.0,256.0,256.0,0.0,256.0,256.0,256.0,256.0,256.0
megapixels,50250,0,0.06553600000000002,2.7755575615628914e-17,0.065536,0.065536,4.2351647362715e-16,0.065536,0.065536,0.065536,0.065536,0.065536
aspect_ratio,50250,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
file_size_bytes,50250,0,16093.960039800995,4111.415296775842,4573.0,121652.0,0.25546324749211197,9486.0,12820.0,16273.5,19209.0,22290.0
brightness,50250,0,120.94224553836044,18.870360259707784,25.297836303710938,226.1884002685547,0.15602786417358594,93.27565307617188,109.20875930786133,120.00786590576172,130.69470977783203,154.4023239135742
contrast,50250,0,40.95482154115891,11.207976761065622,15.000709206166567,93.37146220616579,0.2736668440809049,22.902273668754503,32.530794816487195,41.186664848464105,48.87587384031277,58.926082472809064
entropy,50250,0,7.054597319253275,0.43675623735545527,2.1640200240192855,7.853107811851219,0.06191086713956987,6.320038115778481,6.823499406321671,7.129755241164041,7.3723847084808085,7.573528549686419
sharpness,50250,0,4006.8993906634028,3568.987131501027,80.03602976142429,27109.052994951606,0.890710443046619,176.09628745019435,1111.7596609455068,3304.2189883671235,5937.653959931515,10129.504532674746
colorfulness,50250,0,32.605808848584644,11.0887206978466,6.8620476617799575,137.10415728286236,0.34008420859425914,19.312721536976657,24.856315841499775,30.259172903160035,37.417503430231434,55.279271359900626
quality_score,50250,0,0.7644966574726368,0.08981948420349484,0.373761,0.889322,0.11748839360584083,0.518758,0.750886,0.785598,0.81364775,0.8496258499999999
